4	8.76
5	16.21
6	153.2
7	68.63
8	170.26
9	252.52
10	474.92
11	771.11
12	863.29
13	1119.47
14	1566.29
15	2023.32
16	2075.82
17	2502.5
18	2921.32
19	3724.5
20	4285.11
21	4833.73
22	5193.8
23	6257.54
24	7185.44
25	8098.88
26	7909.34
27	9632.54
28	10182.43
29	9535.73
30	12858.16
31	15227.18
32	13653.75
33	17873.2
34	15983.32
35	20655.06
36	17649.33
37	20441.89
38	22119.42
39	25373.88
40	26025.12
41	27770.56
42	25521.68
43	29338.96
44	31115.26
45	36737.96
46	37043.96
47	40906.04
48	36644.15
49	40355.02
50	51328.94
